Date,Time,Temp.F ,Temp.C ,Batt.V 
2014/3/25,1:30:00 PM,63.26,17.37,3.54
2014/3/25,1:45:00 PM,63.26,17.37,3.54
2014/3/25,2:00:00 PM,63.35,17.42,3.54
2014/3/25,2:15:00 PM,63.39,17.44,3.54
2014/3/25,2:30:00 PM,63.39,17.44,3.54
2014/3/25,2:45:00 PM,63.43,17.46,3.54
2014/3/25,3:00:00 PM,63.39,17.44,3.54
2014/3/25,3:15:00 PM,63.39,17.44,3.54
2014/3/25,3:30:00 PM,63.43,17.46,3.54
2014/3/25,3:45:00 PM,63.48,17.49,3.54
2014/3/25,4:00:00 PM,63.39,17.44,3.54
2014/3/25,4:15:00 PM,63.39,17.44,3.54
2014/3/25,4:30:00 PM,63.35,17.42,3.54
2014/3/25,4:45:00 PM,63.3,17.39,3.54
2014/3/25,5:00:00 PM,63.26,17.37,3.54
2014/3/25,5:15:00 PM,63.26,17.37,3.54
2014/3/25,5:30:00 PM,63.22,17.34,3.54
2014/3/25,5:45:00 PM,63.13,17.3,3.54
2014/3/25,6:00:00 PM,63.09,17.27,3.54
2014/3/25,6:15:00 PM,63.05,17.25,3.54
2014/3/25,6:30:00 PM,63.01,17.23,3.54
2014/3/25,6:45:00 PM,62.96,17.2,3.54
2014/3/25,7:00:00 PM,62.92,17.18,3.54
2014/3/25,7:15:00 PM,62.92,17.18,3.54
2014/3/25,7:30:00 PM,62.88,17.15,3.54
2014/3/25,7:45:00 PM,62.83,17.13,3.54
2014/3/25,8:00:00 PM,62.79,17.11,3.54
2014/3/25,8:15:00 PM,62.75,17.08,3.54
2014/3/25,8:30:00 PM,62.7,17.06,3.54
2014/3/25,8:45:00 PM,62.66,17.03,3.54
2014/3/25,9:00:00 PM,62.66,17.03,3.54
2014/3/25,9:15:00 PM,62.62,17.01,3.54
2014/3/25,9:30:00 PM,62.62,17.01,3.54
2014/3/25,9:45:00 PM,62.62,17.01,3.54
2014/3/25,10:00:00 PM,62.66,17.03,3.54
2014/3/25,10:15:00 PM,62.62,17.01,3.54
2014/3/25,10:30:00 PM,62.58,16.99,3.54
2014/3/25,10:45:00 PM,62.58,16.99,3.54
2014/3/25,11:00:00 PM,62.53,16.96,3.54
2014/3/25,11:15:00 PM,62.62,17.01,3.54
2014/3/25,11:30:00 PM,62.62,17.01,3.54
2014/3/25,11:45:00 PM,62.53,16.96,3.54
2014/3/26,12:00:00 AM,62.15,16.75,3.54
2014/3/26,12:15:00 AM,62.11,16.73,3.54
2014/3/26,12:30:00 AM,62.15,16.75,3.54
2014/3/26,12:45:00 AM,62.06,16.7,3.54
2014/3/26,1:00:00 AM,61.85,16.58,3.54
2014/3/26,1:15:00 AM,61.59,16.44,3.54
2014/3/26,1:30:00 AM,61.38,16.32,3.54
2014/3/26,1:45:00 AM,61.12,16.18,3.54
2014/3/26,2:00:00 AM,61.12,16.18,3.54
2014/3/26,2:15:00 AM,61.03,16.13,3.54
2014/3/26,2:30:00 AM,61.03,16.13,3.54
2014/3/26,2:45:00 AM,61.03,16.13,3.54
2014/3/26,3:00:00 AM,61.08,16.15,3.54
2014/3/26,3:15:00 AM,61.16,16.2,3.54
2014/3/26,3:30:00 AM,61.16,16.2,3.54
2014/3/26,3:45:00 AM,61.33,16.3,3.54
2014/3/26,4:00:00 AM,61.51,16.39,3.54
2014/3/26,4:15:00 AM,61.72,16.51,3.54
2014/3/26,4:30:00 AM,61.89,16.61,3.54
2014/3/26,4:45:00 AM,61.93,16.63,3.54
2014/3/26,5:00:00 AM,61.93,16.63,3.54
2014/3/26,5:15:00 AM,61.98,16.65,3.54
2014/3/26,5:30:00 AM,62.06,16.7,3.54
2014/3/26,5:45:00 AM,62.06,16.7,3.54
2014/3/26,6:00:00 AM,62.06,16.7,3.54
2014/3/26,6:15:00 AM,62.02,16.68,3.54
2014/3/26,6:30:00 AM,62.02,16.68,3.54
2014/3/26,6:45:00 AM,61.93,16.63,3.54
2014/3/26,7:00:00 AM,61.93,16.63,3.54
2014/3/26,7:15:00 AM,61.89,16.61,3.54
2014/3/26,7:30:00 AM,61.85,16.58,3.54
2014/3/26,7:45:00 AM,61.8,16.56,3.54
2014/3/26,8:00:00 AM,61.8,16.56,3.54
2014/3/26,8:15:00 AM,61.76,16.53,3.54
2014/3/26,8:30:00 AM,61.72,16.51,3.54
2014/3/26,8:45:00 AM,61.72,16.51,3.54
2014/3/26,9:00:00 AM,61.76,16.53,3.54
2014/3/26,9:15:00 AM,61.76,16.53,3.54
2014/3/26,9:30:00 AM,61.8,16.56,3.54
2014/3/26,9:45:00 AM,61.85,16.58,3.54
2014/3/26,10:00:00 AM,61.85,16.58,3.54
2014/3/26,10:15:00 AM,61.89,16.61,3.54
2014/3/26,10:30:00 AM,61.93,16.63,3.51
2014/3/26,10:45:00 AM,61.93,16.63,3.54
2014/3/26,11:00:00 AM,61.85,16.58,3.54
2014/3/26,11:15:00 AM,61.72,16.51,3.54
2014/3/26,11:30:00 AM,61.63,16.46,3.54
2014/3/26,11:45:00 AM,61.51,16.39,3.54
2014/3/26,12:00:00 PM,61.42,16.34,3.54
2014/3/26,12:15:00 PM,61.29,16.27,3.54
2014/3/26,12:30:00 PM,61.16,16.2,3.54
2014/3/26,12:45:00 PM,60.86,16.03,3.54
2014/3/26,1:00:00 PM,60.9,16.06,3.54
2014/3/26,1:15:00 PM,60.99,16.11,3.54
2014/3/26,1:30:00 PM,61.03,16.13,3.54
2014/3/26,1:45:00 PM,60.95,16.08,3.54
2014/3/26,2:00:00 PM,60.95,16.08,3.54
2014/3/26,2:15:00 PM,60.95,16.08,3.54
2014/3/26,2:30:00 PM,61.08,16.15,3.54
2014/3/26,2:45:00 PM,61.38,16.32,3.54
2014/3/26,3:00:00 PM,61.55,16.42,3.54
2014/3/26,3:15:00 PM,61.76,16.53,3.54
2014/3/26,3:30:00 PM,61.8,16.56,3.54
2014/3/26,3:45:00 PM,61.85,16.58,3.54
2014/3/26,4:00:00 PM,61.98,16.65,3.54
2014/3/26,4:15:00 PM,62.06,16.7,3.54
2014/3/26,4:30:00 PM,62.19,16.77,3.54
2014/3/26,4:45:00 PM,62.23,16.8,3.54
2014/3/26,5:00:00 PM,62.32,16.84,3.54
2014/3/26,5:15:00 PM,62.32,16.84,3.54
2014/3/26,5:30:00 PM,62.28,16.82,3.54
2014/3/26,5:45:00 PM,62.28,16.82,3.54
2014/3/26,6:00:00 PM,62.28,16.82,3.54
2014/3/26,6:15:00 PM,62.23,16.8,3.54
2014/3/26,6:30:00 PM,62.19,16.77,3.54
2014/3/26,6:45:00 PM,62.15,16.75,3.54
2014/3/26,7:00:00 PM,62.11,16.73,3.54
2014/3/26,7:15:00 PM,62.06,16.7,3.54
2014/3/26,7:30:00 PM,62.06,16.7,3.54
2014/3/26,7:45:00 PM,62.02,16.68,3.54
2014/3/26,8:00:00 PM,62.02,16.68,3.54
2014/3/26,8:15:00 PM,61.98,16.65,3.54
2014/3/26,8:30:00 PM,61.98,16.65,3.54
2014/3/26,8:45:00 PM,61.98,16.65,3.54
2014/3/26,9:00:00 PM,61.98,16.65,3.54
2014/3/26,9:15:00 PM,61.93,16.63,3.54
2014/3/26,9:30:00 PM,61.93,16.63,3.54
2014/3/26,9:45:00 PM,61.89,16.61,3.54
2014/3/26,10:00:00 PM,61.85,16.58,3.54
2014/3/26,10:15:00 PM,61.85,16.58,3.54
2014/3/26,10:30:00 PM,61.85,16.58,3.54
2014/3/26,10:45:00 PM,61.8,16.56,3.54
2014/3/26,11:00:00 PM,61.8,16.56,3.54
2014/3/26,11:15:00 PM,61.76,16.53,3.54
2014/3/26,11:30:00 PM,61.72,16.51,3.54
2014/3/26,11:45:00 PM,61.68,16.49,3.54
2014/3/27,12:00:00 AM,61.63,16.46,3.54
2014/3/27,12:15:00 AM,61.63,16.46,3.54
2014/3/27,12:30:00 AM,61.63,16.46,3.54
2014/3/27,12:45:00 AM,61.51,16.39,3.54
2014/3/27,1:00:00 AM,61.25,16.25,3.54
2014/3/27,1:15:00 AM,61.12,16.18,3.54
2014/3/27,1:30:00 AM,61.12,16.18,3.54
2014/3/27,1:45:00 AM,60.95,16.08,3.51
2014/3/27,2:00:00 AM,60.69,15.94,3.54
2014/3/27,2:15:00 AM,60.3,15.72,3.54
2014/3/27,2:30:00 AM,60,15.56,3.54
2014/3/27,2:45:00 AM,59.83,15.46,3.54
2014/3/27,3:00:00 AM,59.75,15.41,3.54
2014/3/27,3:15:00 AM,59.7,15.39,3.54
2014/3/27,3:30:00 AM,59.7,15.39,3.54
2014/3/27,3:45:00 AM,59.75,15.41,3.54
2014/3/27,4:00:00 AM,59.75,15.41,3.54
2014/3/27,4:15:00 AM,59.92,15.51,3.54
2014/3/27,4:30:00 AM,60.17,15.65,3.54
2014/3/27,4:45:00 AM,60.56,15.87,3.54
2014/3/27,5:00:00 AM,60.78,15.99,3.54
2014/3/27,5:15:00 AM,60.9,16.06,3.54
2014/3/27,5:30:00 AM,60.95,16.08,3.54
2014/3/27,5:45:00 AM,61.03,16.13,3.54
2014/3/27,6:00:00 AM,61.12,16.18,3.54
2014/3/27,6:15:00 AM,61.21,16.23,3.54
2014/3/27,6:30:00 AM,61.21,16.23,3.54
2014/3/27,6:45:00 AM,61.21,16.23,3.54
2014/3/27,7:00:00 AM,61.16,16.2,3.54
2014/3/27,7:15:00 AM,61.16,16.2,3.54
2014/3/27,7:30:00 AM,61.16,16.2,3.54
2014/3/27,7:45:00 AM,61.12,16.18,3.54
2014/3/27,8:00:00 AM,61.08,16.15,3.54
2014/3/27,8:15:00 AM,61.03,16.13,3.54
2014/3/27,8:30:00 AM,60.99,16.11,3.54
2014/3/27,8:45:00 AM,60.95,16.08,3.54
2014/3/27,9:00:00 AM,60.9,16.06,3.54
2014/3/27,9:15:00 AM,60.86,16.03,3.54
2014/3/27,9:30:00 AM,60.82,16.01,3.54
2014/3/27,9:45:00 AM,60.78,15.99,3.54
2014/3/27,10:00:00 AM,60.9,16.06,3.54
2014/3/27,10:15:00 AM,60.95,16.08,3.54
2014/3/27,10:30:00 AM,61.16,16.2,3.54
2014/3/27,10:45:00 AM,61.51,16.39,3.54
2014/3/27,11:00:00 AM,61.46,16.37,3.54
2014/3/27,11:15:00 AM,61.29,16.27,3.54
2014/3/27,11:30:00 AM,61.51,16.39,3.54
2014/3/27,11:45:00 AM,61.59,16.44,3.54
2014/3/27,12:00:00 PM,61.51,16.39,3.54
2014/3/27,12:15:00 PM,61.59,16.44,3.54
2014/3/27,12:30:00 PM,61.38,16.32,3.54
2014/3/27,12:45:00 PM,61.21,16.23,3.54
2014/3/27,1:00:00 PM,61.25,16.25,3.54
2014/3/27,1:15:00 PM,61.08,16.15,3.54
2014/3/27,1:30:00 PM,60.82,16.01,3.54
2014/3/27,1:45:00 PM,60.39,15.77,3.54
2014/3/27,2:00:00 PM,60.09,15.61,3.54
2014/3/27,2:15:00 PM,59.87,15.49,3.54
2014/3/27,2:30:00 PM,59.75,15.41,3.54
2014/3/27,2:45:00 PM,59.7,15.39,3.54
2014/3/27,3:00:00 PM,59.75,15.41,3.54
2014/3/27,3:15:00 PM,59.83,15.46,3.54
2014/3/27,3:30:00 PM,59.96,15.53,3.54
2014/3/27,3:45:00 PM,60.13,15.63,3.54
2014/3/27,4:00:00 PM,60.43,15.8,3.54
2014/3/27,4:15:00 PM,60.69,15.94,3.54
2014/3/27,4:30:00 PM,60.95,16.08,3.54
2014/3/27,4:45:00 PM,61.21,16.23,3.54
2014/3/27,5:00:00 PM,61.38,16.32,3.51
2014/3/27,5:15:00 PM,61.46,16.37,3.54
2014/3/27,5:30:00 PM,61.55,16.42,3.54
2014/3/27,5:45:00 PM,61.59,16.44,3.54
2014/3/27,6:00:00 PM,61.63,16.46,3.54
2014/3/27,6:15:00 PM,61.59,16.44,3.54
2014/3/27,6:30:00 PM,61.59,16.44,3.54
2014/3/27,6:45:00 PM,61.55,16.42,3.54
2014/3/27,7:00:00 PM,61.46,16.37,3.54
2014/3/27,7:15:00 PM,61.42,16.34,3.54
2014/3/27,7:30:00 PM,61.38,16.32,3.54
2014/3/27,7:45:00 PM,61.29,16.27,3.54
2014/3/27,8:00:00 PM,61.25,16.25,3.54
2014/3/27,8:15:00 PM,61.16,16.2,3.54
2014/3/27,8:30:00 PM,61.12,16.18,3.54
2014/3/27,8:45:00 PM,61.08,16.15,3.54
2014/3/27,9:00:00 PM,61.03,16.13,3.54
2014/3/27,9:15:00 PM,60.99,16.11,3.54
2014/3/27,9:30:00 PM,60.9,16.06,3.54
2014/3/27,9:45:00 PM,60.86,16.03,3.54
2014/3/27,10:00:00 PM,60.82,16.01,3.54
2014/3/27,10:15:00 PM,60.78,15.99,3.54
2014/3/27,10:30:00 PM,60.73,15.96,3.54
2014/3/27,10:45:00 PM,60.73,15.96,3.54
2014/3/27,11:00:00 PM,60.69,15.94,3.54
2014/3/27,11:15:00 PM,60.69,15.94,3.54
2014/3/27,11:30:00 PM,60.73,15.96,3.54
2014/3/27,11:45:00 PM,60.78,15.99,3.54
2014/3/28,12:00:00 AM,60.78,15.99,3.54
2014/3/28,12:15:00 AM,60.82,16.01,3.54
2014/3/28,12:30:00 AM,60.82,16.01,3.54
2014/3/28,12:45:00 AM,60.82,16.01,3.54
2014/3/28,1:00:00 AM,60.9,16.06,3.54
2014/3/28,1:15:00 AM,60.9,16.06,3.54
2014/3/28,1:30:00 AM,60.78,15.99,3.54
2014/3/28,1:45:00 AM,60.69,15.94,3.54
2014/3/28,2:00:00 AM,60.73,15.96,3.54
2014/3/28,2:15:00 AM,60.78,15.99,3.54
2014/3/28,2:30:00 AM,60.56,15.87,3.54
2014/3/28,2:45:00 AM,60.35,15.75,3.54
2014/3/28,3:00:00 AM,60.17,15.65,3.54
2014/3/28,3:15:00 AM,60.05,15.58,3.54
2014/3/28,3:30:00 AM,60,15.56,3.54
2014/3/28,3:45:00 AM,59.96,15.53,3.54
2014/3/28,4:00:00 AM,59.92,15.51,3.54
2014/3/28,4:15:00 AM,59.87,15.49,3.54
2014/3/28,4:30:00 AM,59.92,15.51,3.54
2014/3/28,4:45:00 AM,59.96,15.53,3.54
2014/3/28,5:00:00 AM,59.96,15.53,3.54
2014/3/28,5:15:00 AM,60.05,15.58,3.54
2014/3/28,5:30:00 AM,60.13,15.63,3.54
2014/3/28,5:45:00 AM,60.3,15.72,3.54
2014/3/28,6:00:00 AM,60.47,15.82,3.54
2014/3/28,6:15:00 AM,60.56,15.87,3.54
2014/3/28,6:30:00 AM,60.56,15.87,3.54
2014/3/28,6:45:00 AM,60.56,15.87,3.54
2014/3/28,7:00:00 AM,60.56,15.87,3.54
2014/3/28,7:15:00 AM,60.56,15.87,3.54
2014/3/28,7:30:00 AM,60.56,15.87,3.54
2014/3/28,7:45:00 AM,60.52,15.84,3.54
2014/3/28,8:00:00 AM,60.52,15.84,3.54
2014/3/28,8:15:00 AM,60.47,15.82,3.51
2014/3/28,8:30:00 AM,60.47,15.82,3.54
2014/3/28,8:45:00 AM,60.47,15.82,3.54
2014/3/28,9:00:00 AM,60.47,15.82,3.54
2014/3/28,9:15:00 AM,60.52,15.84,3.54
2014/3/28,9:30:00 AM,60.56,15.87,3.54
2014/3/28,9:45:00 AM,60.56,15.87,3.54
2014/3/28,10:00:00 AM,60.6,15.89,3.54
2014/3/28,10:15:00 AM,60.65,15.92,3.54
2014/3/28,10:30:00 AM,60.65,15.92,3.54
2014/3/28,10:45:00 AM,60.69,15.94,3.54
2014/3/28,11:00:00 AM,60.78,15.99,3.54
2014/3/28,11:15:00 AM,60.99,16.11,3.54
2014/3/28,11:30:00 AM,61.29,16.27,3.54
2014/3/28,11:45:00 AM,61.51,16.39,3.54
2014/3/28,12:00:00 PM,61.63,16.46,3.54
2014/3/28,12:15:00 PM,61.42,16.34,3.54
2014/3/28,12:30:00 PM,61.68,16.49,3.54
2014/3/28,12:45:00 PM,61.72,16.51,3.54
2014/3/28,1:00:00 PM,61.72,16.51,3.54
2014/3/28,1:15:00 PM,61.8,16.56,3.54
2014/3/28,1:30:00 PM,61.85,16.58,3.54
2014/3/28,1:45:00 PM,61.76,16.53,3.54
2014/3/28,2:00:00 PM,61.93,16.63,3.54
2014/3/28,2:15:00 PM,61.85,16.58,3.54
2014/3/28,2:30:00 PM,61.63,16.46,3.54
2014/3/28,2:45:00 PM,61.51,16.39,3.54
2014/3/28,3:00:00 PM,61.38,16.32,3.54
2014/3/28,3:15:00 PM,61.21,16.23,3.54
2014/3/28,3:30:00 PM,61.12,16.18,3.54
2014/3/28,3:45:00 PM,61.08,16.15,3.54
2014/3/28,4:00:00 PM,61.08,16.15,3.54
2014/3/28,4:15:00 PM,61.03,16.13,3.54
2014/3/28,4:30:00 PM,61.21,16.23,3.54
2014/3/28,4:45:00 PM,61.21,16.23,3.54
2014/3/28,5:00:00 PM,61.33,16.3,3.54
2014/3/28,5:15:00 PM,61.42,16.34,3.54
2014/3/28,5:30:00 PM,61.55,16.42,3.54
2014/3/28,5:45:00 PM,61.63,16.46,3.54
2014/3/28,6:00:00 PM,61.72,16.51,3.54
2014/3/28,6:15:00 PM,61.8,16.56,3.54
2014/3/28,6:30:00 PM,61.8,16.56,3.54
2014/3/28,6:45:00 PM,61.8,16.56,3.54
2014/3/28,7:00:00 PM,61.76,16.53,3.54
2014/3/28,7:15:00 PM,61.76,16.53,3.54
2014/3/28,7:30:00 PM,61.76,16.53,3.54
2014/3/28,7:45:00 PM,61.72,16.51,3.54
2014/3/28,8:00:00 PM,61.68,16.49,3.54
2014/3/28,8:15:00 PM,61.68,16.49,3.54
2014/3/28,8:30:00 PM,61.68,16.49,3.54
2014/3/28,8:45:00 PM,61.63,16.46,3.54
2014/3/28,9:00:00 PM,61.63,16.46,3.54
2014/3/28,9:15:00 PM,61.63,16.46,3.54
2014/3/28,9:30:00 PM,61.63,16.46,3.54
2014/3/28,9:45:00 PM,61.63,16.46,3.54
2014/3/28,10:00:00 PM,61.63,16.46,3.54
2014/3/28,10:15:00 PM,61.63,16.46,3.54
2014/3/28,10:30:00 PM,61.63,16.46,3.54
2014/3/28,10:45:00 PM,61.63,16.46,3.54
2014/3/28,11:00:00 PM,61.59,16.44,3.54
2014/3/28,11:15:00 PM,61.59,16.44,3.54
2014/3/28,11:30:00 PM,61.59,16.44,3.51
2014/3/28,11:45:00 PM,61.59,16.44,3.54
2014/3/29,12:00:00 AM,61.55,16.42,3.54
2014/3/29,12:15:00 AM,61.55,16.42,3.54
2014/3/29,12:30:00 AM,61.51,16.39,3.54
2014/3/29,12:45:00 AM,61.46,16.37,3.54
2014/3/29,1:00:00 AM,61.42,16.34,3.54
2014/3/29,1:15:00 AM,61.42,16.34,3.54
2014/3/29,1:30:00 AM,61.38,16.32,3.54
2014/3/29,1:45:00 AM,61.38,16.32,3.54
2014/3/29,2:00:00 AM,61.33,16.3,3.54
2014/3/29,2:15:00 AM,61.33,16.3,3.54
2014/3/29,2:30:00 AM,61.38,16.32,3.54
2014/3/29,2:45:00 AM,61.42,16.34,3.54
2014/3/29,3:00:00 AM,61.42,16.34,3.54
2014/3/29,3:15:00 AM,61.42,16.34,3.54
2014/3/29,3:30:00 AM,61.38,16.32,3.54
2014/3/29,3:45:00 AM,61.42,16.34,3.54
2014/3/29,4:00:00 AM,61.42,16.34,3.54
2014/3/29,4:15:00 AM,61.33,16.3,3.54
2014/3/29,4:30:00 AM,61.29,16.27,3.54
2014/3/29,4:45:00 AM,61.25,16.25,3.54
2014/3/29,5:00:00 AM,61.21,16.23,3.54
2014/3/29,5:15:00 AM,61.21,16.23,3.54
2014/3/29,5:30:00 AM,61.25,16.25,3.54
2014/3/29,5:45:00 AM,61.29,16.27,3.54
2014/3/29,6:00:00 AM,61.33,16.3,3.54
2014/3/29,6:15:00 AM,61.29,16.27,3.54
2014/3/29,6:30:00 AM,61.25,16.25,3.54
2014/3/29,6:45:00 AM,61.21,16.23,3.54
2014/3/29,7:00:00 AM,61.16,16.2,3.54
2014/3/29,7:15:00 AM,61.16,16.2,3.54
2014/3/29,7:30:00 AM,61.12,16.18,3.54
2014/3/29,7:45:00 AM,61.08,16.15,3.54
2014/3/29,8:00:00 AM,61.08,16.15,3.54
2014/3/29,8:15:00 AM,61.03,16.13,3.54
2014/3/29,8:30:00 AM,61.03,16.13,3.54
2014/3/29,8:45:00 AM,60.99,16.11,3.54
2014/3/29,9:00:00 AM,60.99,16.11,3.54
2014/3/29,9:15:00 AM,60.99,16.11,3.54
2014/3/29,9:30:00 AM,60.99,16.11,3.54
2014/3/29,9:45:00 AM,60.95,16.08,3.54
2014/3/29,10:00:00 AM,60.95,16.08,3.54
2014/3/29,10:15:00 AM,60.95,16.08,3.54
2014/3/29,10:30:00 AM,60.95,16.08,3.54
2014/3/29,10:45:00 AM,60.9,16.06,3.54
2014/3/29,11:00:00 AM,60.9,16.06,3.54
2014/3/29,11:15:00 AM,60.9,16.06,3.54
2014/3/29,11:30:00 AM,60.86,16.03,3.54
2014/3/29,11:45:00 AM,60.86,16.03,3.54
2014/3/29,12:00:00 PM,60.86,16.03,3.54
2014/3/29,12:15:00 PM,60.9,16.06,3.54
2014/3/29,12:30:00 PM,60.95,16.08,3.54
2014/3/29,12:45:00 PM,60.95,16.08,3.54
2014/3/29,1:00:00 PM,60.95,16.08,3.54
2014/3/29,1:15:00 PM,60.95,16.08,3.54
2014/3/29,1:30:00 PM,60.99,16.11,3.54
2014/3/29,1:45:00 PM,60.99,16.11,3.54
2014/3/29,2:00:00 PM,60.99,16.11,3.54
2014/3/29,2:15:00 PM,60.99,16.11,3.54
2014/3/29,2:30:00 PM,60.95,16.08,3.54
2014/3/29,2:45:00 PM,60.9,16.06,3.51
2014/3/29,3:00:00 PM,60.86,16.03,3.54
2014/3/29,3:15:00 PM,60.78,15.99,3.54
2014/3/29,3:30:00 PM,60.65,15.92,3.54
2014/3/29,3:45:00 PM,60.52,15.84,3.54
2014/3/29,4:00:00 PM,60.47,15.82,3.54
2014/3/29,4:15:00 PM,60.47,15.82,3.54
2014/3/29,4:30:00 PM,60.43,15.8,3.54
2014/3/29,4:45:00 PM,60.39,15.77,3.54
2014/3/29,5:00:00 PM,60.39,15.77,3.54
2014/3/29,5:15:00 PM,60.39,15.77,3.54
2014/3/29,5:30:00 PM,60.39,15.77,3.54
2014/3/29,5:45:00 PM,60.39,15.77,3.54
2014/3/29,6:00:00 PM,60.47,15.82,3.54
2014/3/29,6:15:00 PM,60.47,15.82,3.54
2014/3/29,6:30:00 PM,60.56,15.87,3.54
2014/3/29,6:45:00 PM,60.69,15.94,3.54
2014/3/29,7:00:00 PM,60.73,15.96,3.54
